"model name","Baseline","Logistic Regression","KNN","Decision Tree","SVC"
"train score",0.11154286507303196,0.11154286507303196,0.10921833258161885,0.11154286507303196,0.11154286507303196
"test score",0.11527564154456407,0.11527564154456407,0.1164899214765644,0.11527564154456407,0.11527564154456407
"average fit time",0.006050252914428711,0.0862886905670166,0.03709511756896973,0.03031134605407715,3.6372381687164306
